Left Riverbank: 	chickens: 99, 	wolves: 96, 	boat: 1
Right Riverbank: 	chickens: 0, 	wolves: 0, 	boat: 0

Left Riverbank: 	chickens: 98, 	wolves: 95, 	boat: 0
Right Riverbank: 	chickens: 1, 	wolves: 1, 	boat: 1

Left Riverbank: 	chickens: 99, 	wolves: 95, 	boat: 1
Right Riverbank: 	chickens: 0, 	wolves: 1, 	boat: 0

Left Riverbank: 	chickens: 97, 	wolves: 95, 	boat: 0
Right Riverbank: 	chickens: 2, 	wolves: 1, 	boat: 1

Left Riverbank: 	chickens: 98, 	wolves: 95, 	boat: 1
Right Riverbank: 	chickens: 1, 	wolves: 1, 	boat: 0

Left Riverbank: 	chickens: 96, 	wolves: 95, 	boat: 0
Right Riverbank: 	chickens: 3, 	wolves: 1, 	boat: 1

Left Riverbank: 	chickens: 97, 	wolves: 95, 	boat: 1
Right Riverbank: 	chickens: 2, 	wolves: 1, 	boat: 0

Left Riverbank: 	chickens: 96, 	wolves: 94, 	boat: 0
Right Riverbank: 	chickens: 3, 	wolves: 2, 	boat: 1

Left Riverbank: 	chickens: 97, 	wolves: 94, 	boat: 1
Right Riverbank: 	chickens: 2, 	wolves: 2, 	boat: 0

Left Riverbank: 	chickens: 95, 	wolves: 94, 	boat: 0
Right Riverbank: 	chickens: 4, 	wolves: 2, 	boat: 1

Left Riverbank: 	chickens: 96, 	wolves: 94, 	boat: 1
Right Riverbank: 	chickens: 3, 	wolves: 2, 	boat: 0

Left Riverbank: 	chickens: 95, 	wolves: 93, 	boat: 0
Right Riverbank: 	chickens: 4, 	wolves: 3, 	boat: 1

Left Riverbank: 	chickens: 96, 	wolves: 93, 	boat: 1
Right Riverbank: 	chickens: 3, 	wolves: 3, 	boat: 0

Left Riverbank: 	chickens: 94, 	wolves: 93, 	boat: 0
Right Riverbank: 	chickens: 5, 	wolves: 3, 	boat: 1

Left Riverbank: 	chickens: 95, 	wolves: 93, 	boat: 1
Right Riverbank: 	chickens: 4, 	wolves: 3, 	boat: 0

Left Riverbank: 	chickens: 94, 	wolves: 92, 	boat: 0
Right Riverbank: 	chickens: 5, 	wolves: 4, 	boat: 1

Left Riverbank: 	chickens: 95, 	wolves: 92, 	boat: 1
Right Riverbank: 	chickens: 4, 	wolves: 4, 	boat: 0

Left Riverbank: 	chickens: 93, 	wolves: 92, 	boat: 0
Right Riverbank: 	chickens: 6, 	wolves: 4, 	boat: 1

Left Riverbank: 	chickens: 94, 	wolves: 92, 	boat: 1
Right Riverbank: 	chickens: 5, 	wolves: 4, 	boat: 0

Left Riverbank: 	chickens: 93, 	wolves: 91, 	boat: 0
Right Riverbank: 	chickens: 6, 	wolves: 5, 	boat: 1

Left Riverbank: 	chickens: 94, 	wolves: 91, 	boat: 1
Right Riverbank: 	chickens: 5, 	wolves: 5, 	boat: 0

Left Riverbank: 	chickens: 92, 	wolves: 91, 	boat: 0
Right Riverbank: 	chickens: 7, 	wolves: 5, 	boat: 1

Left Riverbank: 	chickens: 93, 	wolves: 91, 	boat: 1
Right Riverbank: 	chickens: 6, 	wolves: 5, 	boat: 0

Left Riverbank: 	chickens: 92, 	wolves: 90, 	boat: 0
Right Riverbank: 	chickens: 7, 	wolves: 6, 	boat: 1

Left Riverbank: 	chickens: 93, 	wolves: 90, 	boat: 1
Right Riverbank: 	chickens: 6, 	wolves: 6, 	boat: 0

Left Riverbank: 	chickens: 91, 	wolves: 90, 	boat: 0
Right Riverbank: 	chickens: 8, 	wolves: 6, 	boat: 1

Left Riverbank: 	chickens: 92, 	wolves: 90, 	boat: 1
